idCATEGORIA;idPRODUCTOS;CATEGORIA;DESCRIPCION DE LA CATEGORIA;CLASE;GENERO;ARMADOR;SERVICIO;NO.PARTE;ORIGEN;UNIDAD;SISTEMA
;;R4;ARMOR ALL;Químicos;;;;;;;
;;R4;ARMOR ALL;Químicos;;;;;;;
;;R4;ARMOR ALL;Químicos;;;;;;;
;;D2;PRESTONE;Químicos;;;;;;;
;;N5;DISTRIBUIDORA ECOM;Químicos;;;;;;;
;;R4;ARMOR ALL;Químicos;;;;;;;
;;R4;ARMOR ALL;Químicos;;;;;;;
;;R4;ARMOR ALL;Químicos;;;;;;;
;;N5;DISTRIBUIDORA ECOM;Químicos;;;;;;;
;;N5;DISTRIBUIDORA ECOM;Químicos;;;;;;;
;;N5;DISTRIBUIDORA ECOM;Químicos;;;;;;;
;;N5;DISTRIBUIDORA ECOM;Químicos;;;;;;;
;;M9;ARTLUX S.A. DE C.V;Químicos;;;;;;;
;;G5;WETHERILL ASSOCIATES INC.;Aislantes de Alternador;;;;;;;
;;F0;JUST PARTS INC.;Aislantes de Alternador;;;;;;;
;;L2;RCP INC.;Aislantes de Alternador;;;;;;;
;;F0;JUST PARTS INC.;Aislantes de Alternador;;;;;;;
;;F0;JUST PARTS INC.;Aislantes de Alternador;;;;;;;
;;F0;JUST PARTS INC.;Aislantes de Alternador;;;;;;;
;;F0;JUST PARTS INC.;Aislantes de Alternador;;;;;;;
;;F0;JUST PARTS INC.;Aislantes de Alternador;;;;;;;
;;F0;JUST PARTS INC.;Aislantes de Alternador;;;;;;;
;;Q2;IND. ELECTRICA AUTOMOTRIZ KOR;Aislantes de Alternador;;;;;;;
;;Q2;IND. ELECTRICA AUTOMOTRIZ KOR;Aislantes de Alternador;;;;;;;
;;F0;JUST PARTS INC.;Aislantes de Alternador;;;;;;;
;;F0;JUST PARTS INC.;Aislantes de Alternador;;;;;;;
;;F0;JUST PARTS INC.;Aislantes de Alternador;;;;;;;
;;F0;JUST PARTS INC.;Aislantes de Alternador;;;;;;;
;;B5;METROLUBRICANTES;Aislantes de Alternador;;;;;;;
;;F0;JUST PARTS INC.;Aislantes de Alternador;;;;;;;
